t,x
0.000000000000000000e+00,0.000000000000000000e+00
1.000500250125062601e-08,6.350986343101552591e-88
2.001000500250125201e-08,1.792365667043039245e-87
3.001500750375187471e-08,3.658675170561298788e-87
4.002001000500250403e-08,6.375818851755587496e-87
5.002501250625313334e-08,9.933230694213900629e-87
6.003001500750374942e-08,1.399069986547554652e-86
7.003501750875437874e-08,1.761482574493865150e-86
8.004002001000500806e-08,1.892615235783352424e-86
9.004502251125563737e-08,1.468376713327329351e-86
1.000500250125062667e-07,-1.109346714052276915e-88
1.100550275137568828e-07,-3.242074112642505032e-86
1.200600300150074988e-07,-9.088931230271064236e-86
1.300650325162581414e-07,-1.845986254720703147e-85
1.400700350175087575e-07,-3.202047621174513453e-85
1.500750375187594000e-07,-4.966170768875496584e-85
1.600800400200100161e-07,-6.963212535571695416e-85
1.700850425212606322e-07,-8.726394899036850764e-85
1.800900450225112747e-07,-9.328983254349482785e-85
1.900950475237618908e-07,-7.189481580001539043e-85
2.001000500250125334e-07,1.087262423281719557e-86
2.101050525262631495e-07,1.590026708339339257e-84
2.201100550275137655e-07,4.427991369375107797e-84
2.301150575287644081e-07,8.948335828285702441e-84
2.401200600300149977e-07,1.545002744440923467e-83
2.501250625312656402e-07,2.385407278226843489e-83
2.601300650325162828e-07,3.329580431268235904e-83
2.701350675337669253e-07,4.153369450335829992e-83
2.801400700350175150e-07,4.417880882349294762e-83
2.901450725362681575e-07,3.381871139957646744e-83
3.001500750375188001e-07,-7.678443586355016843e-85
3.101550775387693897e-07,-7.491792286438088890e-83
3.201600800400200322e-07,-2.072566501751894172e-82
3.301650825412706748e-07,-4.167401003804819278e-82
3.401700850425212644e-07,-7.162099939256354126e-82
3.501750875437719069e-07,-1.100812098293273367e-81
3.601800900450225495e-07,-1.529604020633947919e-81
3.701850925462731391e-07,-1.899220777416640049e-81
3.801900950475237816e-07,-2.010024650813324826e-81
3.901950975487744242e-07,-1.528325349196096959e-81
4.002001000500250667e-07,4.630948730310249664e-83
4.102051025512756564e-07,3.391305922207010579e-81
4.202101050525262989e-07,9.320043877229425985e-81
4.302151075537769415e-07,1.864650829078435605e-80
4.402201100550275311e-07,3.189783098271101530e-80
4.502251125562781736e-07,4.880604445112583260e-80
4.602301150575288162e-07,6.751156384854813511e-80
4.702351175587794058e-07,8.343716214301015930e-80
4.802401200600299954e-07,8.786106124227957538e-80
4.902451225612806379e-07,6.635501377768624836e-80
5.002501250625312805e-07,-2.515640064232301251e-81
5.102551275637819230e-07,-1.474851328531409958e-79
5.202601300650325656e-07,-4.026569745919515566e-79
5.302651325662832081e-07,-8.015653922262720385e-79
5.402701350675338507e-07,-1.364870928518157007e-78
5.502751375687843874e-07,-2.078948789288325917e-78
5.602801400700350299e-07,-2.862773340505285035e-78
5.702851425712856725e-07,-3.521703389929880364e-78
5.802901450725363150e-07,-3.689768944207013857e-78
