Time(s), Amplitude
0.0000000, 0.0000000
0.0000200, 0.5877853
0.0000400, 0.9510565
0.0000600, 0.9510565
0.0000800, 0.5877853
0.0001000, -0.0000000
0.0001200, -0.5877853
0.0001400, -0.9510565
0.0001600, -0.9510565
0.0001800, -0.5877853
0.0002000, 0.0000000
0.0002200, 0.5877853
0.0002400, 0.9510565
0.0002600, 0.9510565
0.0002800, 0.5877853
0.0003000, -0.0000000
0.0003200, -0.5877853
0.0003400, -0.9510565
0.0003600, -0.9510565
0.0003800, -0.5877853
0.0004000, 0.0000000
0.0004200, 0.5877853
0.0004400, 0.9510565
0.0004600, 0.9510565
0.0004800, 0.5877853
0.0005000, 0.0000000
0.0005200, -0.5877853
0.0005400, -0.9510565
0.0005600, -0.9510565
0.0005800, -0.5877853
0.0006000, 0.0000000
0.0006200, 0.5877853
0.0006400, 0.9510565
0.0006600, 0.9510565
0.0006800, 0.5877853
0.0007000, -0.0000000
0.0007200, -0.5877853
0.0007400, -0.9510565
0.0007600, -0.9510565
0.0007800, -0.5877853
0.0008000, 0.0000000
0.0008200, 0.5877853
0.0008400, 0.9510565
0.0008600, 0.9510565
0.0008800, 0.5877853
0.0009000, -0.0000000
0.0009200, -0.5877853
0.0009400, -0.9510565
0.0009600, -0.9510565
0.0009800, -0.5877853
0.0010000, -0.0000000
0.0010200, 0.5877853
0.0010400, 0.9510565
0.0010600, 0.9510565
0.0010800, 0.5877853
0.0011000, -0.0000000
0.0011200, -0.5877853
0.0011400, -0.9510565
0.0011600, -0.9510565
0.0011800, -0.5877853
0.0012000, 0.0000000
0.0012200, 0.5877853
0.0012400, 0.9510565
0.0012600, 0.9510565
0.0012800, 0.5877853
0.0013000, -0.0000000
0.0013200, -0.5877853
0.0013400, -0.9510565
0.0013600, -0.9510565
0.0013800, -0.5877853
0.0014000, 0.0000000
0.0014200, 0.5877853
0.0014400, 0.9510565
0.0014600, 0.9510565
0.0014800, 0.5877853
0.0015000, -0.0000000
0.0015200, -0.5877853
0.0015400, -0.9510565
0.0015600, -0.9510565
0.0015800, -0.5877853
0.0016000, 0.0000000
0.0016200, 0.5877853
0.0016400, 0.9510565
0.0016600, 0.9510565
0.0016800, 0.5877853
0.0017000, -0.0000000
0.0017200, -0.5877853
0.0017400, -0.9510565
0.0017600, -0.9510565
0.0017800, -0.5877853
0.0018000, 0.0000000
0.0018200, 0.5877853
0.0018400, 0.9510565
0.0018600, 0.9510565
0.0018800, 0.5877853
0.0019000, -0.0000000
0.0019200, -0.5877853
0.0019400, -0.9510565
0.0019600, -0.9510565
0.0019800, -0.5877853
0.0020000, -0.0000000
0.0020200, 0.5877853
0.0020400, 0.9510565
0.0020600, 0.9510565
0.0020800, 0.5877853
0.0021000, -0.0000000
0.0021200, -0.5877853
0.0021400, -0.9510565
0.0021600, -0.9510565
0.0021800, -0.5877853
0.0022000, 0.0000000
0.0022200, 0.5877853
0.0022400, 0.9510565
0.0022600, 0.9510565
0.0022800, 0.5877853
0.0023000, -0.0000000
0.0023200, -0.5877853
0.0023400, -0.9510565
0.0023600, -0.9510565
0.0023800, -0.5877853
0.0024000, 0.0000000
0.0024200, 0.5877853
0.0024400, 0.9510565
0.0024600, 0.9510565
0.0024800, 0.5877853
0.0025000, -0.0000000
0.0025200, -0.5877853
0.0025400, -0.9510565
0.0025600, -0.9510565
0.0025800, -0.5877853
0.0026000, 0.0000000
0.0026200, 0.5877853
0.0026400, 0.9510565
0.0026600, 0.9510565
0.0026800, 0.5877853
0.0027000, -0.0000000
0.0027200, -0.5877853
0.0027400, -0.9510565
0.0027600, -0.9510565
0.0027800, -0.5877853
0.0028000, 0.0000000
0.0028200, 0.5877853
0.0028400, 0.9510565
0.0028600, 0.9510565
0.0028800, 0.5877853
0.0029000, -0.0000000
0.0029200, -0.5877853
0.0029400, -0.9510565
0.0029600, -0.9510565
0.0029800, -0.5877853
0.0030000, 0.0000000
0.0030200, 0.5877853
0.0030400, 0.9510565
0.0030600, 0.9510565
0.0030800, 0.5877853
0.0031000, -0.0000000
0.0031200, -0.5877853
0.0031400, -0.9510565
0.0031600, -0.9510565
0.0031800, -0.5877853
0.0032000, 0.0000000
0.0032200, 0.5877853
0.0032400, 0.9510565
0.0032600, 0.9510565
0.0032800, 0.5877853
0.0033000, -0.0000000
0.0033200, -0.5877853
0.0033400, -0.9510565
0.0033600, -0.9510565
0.0033800, -0.5877853
0.0034000, 0.0000000
0.0034200, 0.5877853
0.0034400, 0.9510565
0.0034600, 0.9510565
0.0034800, 0.5877853
0.0035000, -0.0000000
0.0035200, -0.5877853
